void sub_805DF0(HANDLE ProcessHandle, PVOID *BaseAddress, PSIZE_T RegionSize, ULONG NewProtect, PULONG OldProtect)
{
  unsigned __int64 **v6; // r15
          v167 = v160 - 0x11B579C12LL;
          v168 = 0xFFFFFFFEE4A863EEuLL * v160;
          if ( (__int64)v322 < v329.m128i_i64[0] )
            v168 = v167;
          v330 = 0x2156F0B4;
          v169 = _mm_sub_epi64(
                   (__m128i)(v342 + v329.m128i_i64[1] + 0x5B579924 * (v158 ^ 0x8000000000LL) + v336 + v311 + v168),
                   v164).m128i_u64[0] | ((unsigned __int64)((unsigned __int8)v165 & 0x80) << 0x2C) | v157 | (v331 >> 2) & 0x30000000000LL | ((v331 & 0x78000000) << 8) | ((unsigned __int64)((unsigned int)&loc_E0000 & (unsigned int)v331) << 0xF) | _mm_or_si128(_mm_cvtsi32_si128(((_DWORD)v331 << 0x12) & 0xE0000000), _mm_cvtsi32_si128(((v331 & 0x20) << 0x16) | ((v331 & 2) << 0x19))).m128i_u64[0] | ((unsigned __int64)(v165 & 0x18) << 0x2E) | ((unsigned __int64)(v165 & 2) << 0x2F) | (v154 >> 0x25) & 0x2000000 | (v154 >> 0x1C) & 0x800000 | (v331 >> 0x10) & 0xC00000000000LL | (v331 >> 9) & 0x180000000000LL | (v331 >> 5) & 0x40000000000LL | (v331 >> 0xE) & 0x200000000000LL | (v154 >> 0x21) & 0x1000000 | v166;
          v170 = __ROL4__(0xC9871C35, 0x10);
          v171 = *(_QWORD *)(v319 + v313);
          v172 = *(_QWORD *)(v319 + v313 + 8);
          v173 = *(_DWORD *)(v319 + v313 + 0x10);
          v174 = __ROL4__(v170 + 0x798A349B, 0x14);
          v175 = (unsigned __int8)(v172 & 1) << 8;
          v176 = ((unsigned int)v171 >> 0xF) & 4 | (v171 >> 0x23) & 8 | ((unsigned int)v171 >> 5) & 1 | HIWORD(v171) & 0x10 | ((unsigned int)v171 >> 0xD) & 2 | (v171 >> 0x31) & 0x20 | (v171 >> 0x34) & 0xC0;
          v177 = v175 | v176;
          v178 = v175 + v176;
          if ( (unsigned int)(0x2C0C3BE9 * (v170 + 0x61F30896)) > (__int64)(unsigned int)(0x4D16337B
                                                                                        * (v170 + 0x56162DE9)) )
            v178 = v177;
          v179 = ((unsigned int)v172 >> 7) & 0x200 | (unsigned __int64)v178;
          v152 = v313;
          v180 = v179 | ((unsigned int)v172 >> 0xD) & 0x400;
          v181 = (((unsigned int)v172 >> 0xD) & 0x400) + v179;
          if ( (int)((v170 ^ 0xEB09B2B2) - 0x5314DE53) <= (unsigned __int64)v174 )
            v181 = v180;
          v330 = 0x424EF0B4;
          v153 = v333;
          if ( (unsigned __int64)v320 >= v169 << 0xC )
          {
            v141 = (v169
                  + (_mm_or_si128(
                       _mm_cvtsi32_si128((v172 >> 0x1F) & 0x2000 | (unsigned int)qword_18000 & (v172 >> 0x27) | (v172 >> 0x16) & 0x800 | (v172 >> 0x23) & 0x4000 | (v172 >> 0x1B) & 0x1000),
                       _mm_cvtsi32_si128((unsigned __int8)(v173 & 1) << 0x11)).m128i_u64[0] | (unsigned int)qword_40000 & (v173 << 0xA) | (unsigned __int64)((v173 << 7) & 0x80000) | v181)) << 0xC;
            if ( (unsigned __int64)v320 < v141 )
            {
              LOWORD(v14) = (v333 + 8) & 0xFFF;
              v6 = v332;
              v330 = 0x211C7D19;
              NewProtect = v326;
              v15 = OldProtect;
LABEL_191:
              v13 = v334;
              goto LABEL_192;
            }
          }
        }
        v152 += 0x18LL;
      }
      while ( v152 != 0xF0 );
      v330 = 0xF4EFC7FE;
      v329.m128i_i64[1] = v340 - 1;
      v333 = (v153 + 8) & 0xFFF;
      LODWORD(v322) = 0x58A8A862;
      v313 = ~((unsigned int)&unk_DB017E ^ 0xA5D9D660);
      v339 = (unsigned int)__ROL4__(0xC3900266, 0x1C);
      v328 = 0x9DEC0058LL;
      LODWORD(v324) = 0xA11F21E6;
      v202 = *(_QWORD *)(v338 + 0xFFFF96C9);
      v343 = (v202 >> 0x26) & 0x80 | (v202 >> 0x2C) & 0x100;
      v203 = *(_QWORD *)(v338 + 0xFFFF96D9);
      v329.m128i_i64[0] = (v203 << 0x15) & 0x4000000000LL;
      v336 = (v203 << 0x15) ^ 0x4000000000LL;
      v204 = *(_QWORD *)(v338 + 0xFFFF96D1);
      v314 = ((unsigned __int8)(v204 & 4) << 0xA) | v204 & 0x4000;
      v311 = ((unsigned int)v202 >> 1) & 2;
      v344 = HIWORD(v202);
      LODWORD(v342) = (unsigned int)v204 >> 1;
      LODWORD(v331) = (unsigned int)qword_70000 & ((unsigned int)v204 >> 2);
      v327 = v203 << 0x16;
      v335 = v202;
      LODWORD(v320) = ((unsigned int)v204 >> 4) & 0x80000;
      v321 = v203 & 0x8000000000LL;
      v317 = v203 & 0x40000000000LL;
      v341 = v202 & 1;
      v337 = v203 ^ 0x16;
      v316 = (unsigned __int64)(v203 & 0xC00) << 0x18;
      v319 = (v204 >> 0x1C) & 0x20000000 | (v204 >> 0x19) & 0x10000000;
      v205 = 0LL;
      v206 = _mm_or_si128(
               (__m128i)(v314 | _mm_or_si128(
                                  _mm_cvtsi32_si128(HIWORD(v202) & 0xC00),
                                  _mm_cvtsi32_si128((v202 >> 0x2D) & 0x200)).m128i_u64[0] | _mm_or_si128(
                                                                                              (__m128i)(((unsigned int)v202 >> 0x17) & 8 | (v202 >> 0x1C) & 0x10 | _mm_or_si128((__m128i)(v311 + v341 + (((unsigned __int64)(v203 & 1) << 0x20) | ((unsigned __int64)(v203 & 4) << 0x1F))), _mm_and_si128(_mm_srli_epi32(_mm_cvtsi32_si128(v202), 5u), (__m128i)xmmword_14D5ED0)).m128i_u64[0]),
                                                                                              _mm_or_si128(
                                                                                                _mm_cvtsi32_si128(v343),
                                                                                                _mm_cvtsi32_si128((v202 >> 0x24) & 0x40 | (v202 >> 0x1F) & 0x20))).m128i_u64[0]),
               _mm_or_si128(
                 _mm_cvtsi32_si128((unsigned int)v331 + (((unsigned int)v204 >> 1) & 0x8000)),
                 _mm_cvtsi32_si128((unsigned int)v320 + ((unsigned int)&unk_300000 & ((unsigned int)v204 >> 8))))).m128i_u64[0] | v316 | _mm_or_si128(_mm_cvtsi32_si128((unsigned int)(v204 >> 0x1E) & 0xC0000000), _mm_cvtsi32_si128((8 * (_WORD)v204) & 0x2000)).m128i_u64[0] | v319 | (v204 >> 0x13) & 0x6000000 | (v204 >> 0x14) & 0x8000000 | (unsigned int)&unk_C00000 & (unsigned int)(v204 >> 0xB) | (v204 >> 0x10) & 0x1000000;
      v207 = v203 << 0x3B;
      if ( v313 == 0x5AFD28E1 )
        v207 = v327 & 0x2000000000LL;
      v336 = 0x10
           * (v206 | v207 | (((0x10 * v203) & 0x20000000000LL | ((unsigned __int64)(v203 & 0x10000000) << 0xC) | ((unsigned __int64)(v203 & 0x2000) << 0x17) | ((unsigned __int64)(v203 & 0x400000) << 0x11))
                           + 8 * v321
                           + 2 * v317) | v329.m128i_i64[0]);
      v141 = v336 + 8;
      v208 = 0xD8LL;
      v209 = _mm_load_si128((const __m128i *)&xmmword_14D6670);
      v210 = _mm_load_si128(xmmword_14D6BB0);
      for ( i = v333; ; i = v14 )
      {
        v14 = (i + 8) & 0xFFF;
        if ( v208 != 0xC0 )
        {
          v329.m128i_i64[0] = v208;
          v319 = v141;
          v333 = (i + 8) & 0xFFF;
          v322 = v205;
          v330 = 0xDA6382E6;
          v304 = (unsigned __int64 *)(v336 + v205 + 8);
          v343 = v336 + v205 + 0x10;
          v212 = ~v14;
          v213 = *(_QWORD *)v141;
          v324 = *(_QWORD *)(v141 + 8);
          v301 = 0x737F75
               * _mm_xor_si128((__m128i)((v213 << 0xF) ^ 0xFFFFFFF8FFFFFFFFuLL), (__m128i)((i + 8) & 0xFFF)).m128i_u64[0]
               + 0x3D438219 * (v212 & ((v213 << 0xF) ^ 0xFFFFFFF8FFFFFFFFuLL))
               + 0x3DB7018E * v333
               - 0x3DB7018D * (v333 | (v213 << 0xF) & 0x700000000LL)
               - v333
               + (_mm_or_si128((__m128i)((v213 << 0xF) & 0xFFFFFFF8FFFF8000uLL), (__m128i)((i + 8) & 0xFFF)).m128i_u64[0] ^ 0xFFFFFFF8FFFFFFFFuLL)
               * (int)__ROL4__(0xE58491FC, 7);
          LODWORD(v328) = 0x30A5ED71;
          v214 = *(_QWORD *)(v141 - 8);
          LODWORD(v314) = (unsigned int)v214 >> 2;
          LODWORD(v331) = (unsigned int)v214 >> 7;
          v317 = v214;
          LODWORD(v339) = ((unsigned int)v214 >> 6) & 0x10;
          LODWORD(v313) = ((unsigned int)v214 >> 8) & 0x180;
          v321 = 0x30A5ED70LL;
          v215 = 0LL;
          if ( (__ROL4__(0xFCA0FBD9, 0xD) ^ 0xDF7B3F01) != 0xFFFFFFFFDC0DF358uLL )
            v215 = ((unsigned int)v214 >> 0xA) & 0x1E000 | ((unsigned int)v214 >> 9) & 0x1E00 | ((_DWORD)v313
                                                                                               + (((unsigned int)v214 >> 7) & 0x60 | ((_DWORD)v339 + (((unsigned int)v214 >> 3) & 8 | ((unsigned int)v214 >> 2) & 6 | ((unsigned int)v214 >> 1) & 1)))) | (unsigned int)qword_40000 & (unsigned int)(v214 >> 0xF) | (unsigned __int64)(((unsigned int)v214 >> 0xE) & 0x20000) | (v214 >> 0x16) & 0x380000;
          v330 = 0x2156F0B4;
          v216 = _mm_or_si128(
                   (__m128i)(((_DWORD)v213 << 0x15) & 0x10000000 | ((unsigned __int8)(v213 & 0x20) << 0x16) | ((unsigned __int8)(v213 & 2) << 0x19) | (v213 >> 0xE) & 0x200000000000LL | v301 | _mm_or_si128((__m128i)((v213 >> 0x10) & 0xC00000000000LL | ((v324 & 2) << 0x2F) | ((_DWORD)v213 << 0x12) & 0xE0000000 | ((v324 & 0x18) << 0x2E)), (__m128i)((unsigned __int64)((unsigned __int8)v324 & 0x80) << 0x2C)).m128i_u64[0]),
                   (__m128i)((v213 & 0x78000000) << 8)).m128i_u64[0] | (0x20 * v213) & 0x8000000000LL | (v317 >> 0x25) & 0x2000000 | (v317 >> 0x21) & 0x1000000 | (v317 >> 0x1C) & 0x800000 | (v317 >> 0x1A) & 0x400000 | (v213 >> 5) & 0x40000000000LL | (v213 >> 2) & 0x30000000000LL | (v213 >> 9) & 0x180000000000LL | v215;
          v217 = v216 << 0xC;
          if ( ((unsigned int)v321 ^ 0xB957F2B7) < 0x2449E1D5uLL )
          {
            v221 = *v304;
            v220 = __ROL4__(__ROL4__(0xF6E89F58 - v321, 0x14), 0xA);
            v218 = *(_QWORD *)(v319 - 8);
            v219 = ((unsigned int)v218 >> 5) & 1;
            v222 = *v304 + 0x7FDD;
            if ( 0x963D6CFE - (unsigned int)v321 + 0x1A3B900C > (__int64)(int)~(0x914FF12D * v328) )
              v222 = *v304 >> 0x23;
          }
          else
          {
            v218 = *(_QWORD *)(v319 - 8);
            v219 = (v218 & 0x20) != 0;
            v220 = ~__ROR4__(0x38DB0CE6, v321);
            if ( (unsigned int)__ROL4__((v321 ^ 0x27CF954D) - 0x3CA86514, 7) <= (unsigned __int64)(unsigned int)__ROL4__(0x2C6E3401, v321) )
              v219 = *(_QWORD *)(v319 - 8) >> 5;
            v221 = *v304;
            v222 = *v304 >> 0x23;
          }
          v223 = v222 & 0x4000;
          v224 = 0x1E6B5D3C - v220;
          v225 = _mm_and_si128(_mm_srli_epi64((__m128i)v221, 0x16u), v210);
          v226 = v225.m128i_i64[0];
          v227 = _mm_and_si128(v225, (__m128i)v219).m128i_u64[0];
          v228 = v226 | v219 | (v218 >> 0x23) & 8 | ((unsigned int)v221 >> 7) & 0x200 | ((unsigned int)v221 >> 0xD) & 0x400 | ((unsigned int)v218 >> 0xD) & 2 | ((unsigned int)v218 >> 0xF) & 4 | _mm_or_si128(_mm_cvtsi32_si128((v218 >> 0x31) & 0x20), _mm_and_si128(_mm_cvtsi32_si128(HIWORD(v218)), v209)).m128i_u64[0] | ((unsigned __int8)(v221 & 1) << 8) | (v218 >> 0x34) & 0xC0;
          if ( 0xE85ACE41 * v224 != 0x2AEE6C18LL )
            v228 = v227;
          v229 = ((v228 | (v221 >> 0x1B) & 0x1000 | v223 | (*(_DWORD *)v343 << 7) & 0x80000 | ((*(_DWORD *)v343 & 1u) << 0x11) | (unsigned int)qword_40000 & (*(_DWORD *)v343 << 0xA) | (unsigned int)qword_18000 & (v221 >> 0x27) | (v221 >> 0x1F) & 0x2000)
                + v216) << 0xC;
          v330 = 0x424EF0B4;
          v230 = v329.m128i_i64[1] < v229 && v329.m128i_i64[1] >= v217;
          v6 = v332;
          NewProtect = v326;
          v15 = OldProtect;
          v13 = v334;
          LOWORD(v14) = v333;
          v205 = v322;
          v141 = v319;
          v208 = v329.m128i_i64[0];
          if ( v230 )
            break;
        }
        if ( !v208 )
        {
          v330 = 0xF563C7FE;
          LODWORD(v306) = 0xEE1AC558;
          ((void (__fastcall *)(unsigned __int64, unsigned __int64))((char *)&loc_11AF4A3 + 0xFFFF008D))(
            0xFFFFFFFFD4C63720uLL,
            v141);
          if ( !v235 )
          {
            ((void (__fastcall *)(unsigned __int64))((char *)&loc_11ADBA1 + 0xFFFF198F))(0xFFFFFFFFD4C63720uLL);
            if ( !v236 )
            {
              ((void (__fastcall *)(unsigned __int64))((char *)&loc_11AB276 + 0xFFFF42BA))(0xFFFFFFFFD4C63720uLL);
              if ( !v237 )
              {
                ((void (__fastcall *)(unsigned __int64))((char *)&loc_11AE631 + 0xFFFF0EFF))(0xFFFFFFFFD4C63720uLL);
                if ( !v238 )
                {
                  ((void (__fastcall *)(unsigned __int64))((char *)&unk_11A24C8 + 0xFFFFD068))(0xFFFFFFFFD4C63720uLL);
                  if ( !v239 )
                  {
                    v240 = v332;
                    ((void (__fastcall *)(unsigned __int64))((char *)&loc_11A30B8 - 15240))(
                      0xFFFFFFFFF20A3426uLL * (v323 ^ 0x548A707E)
                    + 0xFFFFFFFFCE06D268uLL * ((unsigned int)v323 & 0xAB758F81)
                    + 0xFFFFFFFFF9409B48uLL * (~v323 & 0xFFFFFFFFAB758F81uLL)
                    - 0x6BF64B8 * (v323 & 0x548A707E)
                    + 0x392F94BA * (v323 ^ 0x548A707E)
                    + 0x31F92D98 * (v323 | 0xFFFFFFFFAB758F81uLL));
                    if ( !v242 )
                    {
                      v14 = (i + 0x10) & 0xFFF;
                      ((void (__fastcall *)(unsigned __int64, __int64, _QWORD))((char *)&loc_11AA9B9 - 46217))(
                        0xFFFFFFFFD4C63720uLL,
                        v241,
                        *(unsigned int *)((char *)v240 + v14));
                      if ( !v243 )
                      {
                        LOWORD(v14) = (i + 0x18) & 0xFFF;
                        ((void (__fastcall *)(unsigned __int64))((char *)&loc_11AAF19 - 47593))(0xFFFFFFFFD4C63720uLL);
                        if ( !v244 )
                        {
                          v299 = __readeflags();
                          __writeeflags(v299 & 0xFFFFFFFFFFFFFEFFuLL);
                          LODWORD(v306) = 0xD6E382E6;
                          return;
                        }
                      }
                    }
                  }
                }
              }
            }
          }
          v245 = __readeflags();
          __writeeflags(v245 & 0xFFFFFFFFFFFFFEFFuLL);
          LODWORD(v306) = 0xDCE382E6;
LABEL_184:
          v246 = __readeflags();
          __writeeflags(v246 & 0xFFFFFFFFFFFFFEFFuLL);
          LODWORD(v306) = 0xDBE382E6;
          v247 = ((_WORD)v14 + 0x10) & 0xFFF;
          v339 = (__int64)&loc_92F8F8;
          v334 = 0x72ADC1B0LL;
          v248 = *(_QWORD *)((char *)&unk_16A6803 - 6467);
          v249 = *(_QWORD *)((char *)&unk_16A6803 - 6475);
          v313 = *(_QWORD *)((char *)&unk_16A6803 - 6483);
          v333 = (v248 >> 2) & 0x40000000000LL;
          v319 = (v248 >> 3) & 0x80000000000LL;
          v328 = HIDWORD(v249) & 0x40000000;
          v322 = v248;
          v321 = 0x10
               * (_mm_or_si128(
                    (__m128i)((v249 >> 0x1E) & 0x20000000 | _mm_or_si128(
                                                              (__m128i)(_mm_or_si128(
                                                                          (__m128i)(((unsigned int)v313 >> 0xC) & 0x30 | _mm_or_si128(_mm_cvtsi32_si128(((unsigned int)v313 >> 0xB) & 0xE), _mm_cvtsi32_si128(((unsigned int)v313 >> 9) & 1)).m128i_u64[0] | (v313 >> 0x2A) & 0x4000 | (v313 >> 0x26) & 0x3000 | (v313 >> 0x1C) & 0xC00 | (v313 >> 0x19) & 0x300 | ((unsigned int)v313 >> 0x17) & 0x80 | (unsigned __int64)(((unsigned int)v313 >> 0x12) & 0x40) | (unsigned int)&unk_300000 & ((unsigned int)v249 >> 6) | ((unsigned int)v249 >> 3) & 0x80000 | (unsigned int)qword_40000 & (2 * (_DWORD)v249) | (unsigned int)qword_30000 & ((_DWORD)v249 << 9) | (unsigned __int64)((unsigned __int8)(v249 & 0x10) << 0xB)),
                                                                          _mm_cvtsi32_si128((v249 >> 0xA) & 0x400000)).m128i_u64[0] | (v249 >> 0x16) & 0x4000000 | (v249 >> 0x15) & 0x2000000 | (v249 >> 0x13) & 0x1000000 | (v249 >> 0xD) & 0x800000),
                                                              _mm_cvtsi32_si128((v249 >> 0x17) & 0x18000000)).m128i_u64[0]),
                    (__m128i)(HIDWORD(v249) & 0x40000000)).m128i_u64[0] | ((v248 & 0x2000000) << 0xE) | ((v248 & 0x800000) << 0xF) | _mm_or_si128((__m128i)((v248 & 0x1C0000) << 0x11), (__m128i)(((v248 & 0x38) << 0x1C) | ((unsigned __int64)((unsigned int)&word_10000 & (unsigned int)v248) << 0x12))).m128i_u64[0] | v319 | v333 | (v248 << 7) & 0x10000000000LL | (v248 << 6) & 0x20000000000LL);
          v250 = v321;
          ((void (__fastcall *)(signed __int64, signed __int64, __int64))((char *)&loc_92F8F8 + 0xFFFFC678))(
            (v321 ^ __ROL8__(v321, 0x36) ^ __ROL8__(v321, 0x13)) + 0x63540E6D,
            v321,
            0x5C71DF02LL);
          LODWORD(v306) = 0xD2E382E6;
          v331 = v250;
          ((void (__fastcall *)(PULONG, PSIZE_T, unsigned __int64, _QWORD))((char *)&loc_B80FAC - 1788))(
            OldProtect,
            v315,
            0xFFFFFFFF8D553ADDuLL,
            *((unsigned __int8 *)v332 + v247));
          LODWORD(v306) = 0xD76382E6;
          if ( 0x400001 * v267 >= 0 )
          {
            LODWORD(v336) = (0x400001 * v267) ^ 0x95DCFEEB;
            v268 = __readeflags();
            __writeeflags(v268 & 0xFFFFFFFFFFFFFEFFuLL);
            LODWORD(v306) = 0x86CCAA4;
            v269 = (__int64)*v312;
            v317 = ((unsigned __int64)*v312 + *v315 + 0xFFF) & 0xFFFFFFFFFFFFF000uLL;
            v270 = v269 & 0xFFFFFFFFFFFFF000uLL;
            LODWORD(v306) = 0x10ACCAA4;
            v314 = v321 + 0x18;
            v271 = _mm_load_si128((const __m128i *)&xmmword_15B1640);
            while ( v270 < v317 )
            {
              LODWORD(v306) = 0x7286F0B4;
              v343 = v270 >> 0xC;
              v274 = (*(unsigned __int64 *)(v321 + 0x10) * (unsigned __int128)(v270 >> 0xC)) >> 0x40;
              v275 = v274 ^ (*(_QWORD *)(v321 + 0x10) * (v270 >> 0xC));
              v318 = v314
                   + 8LL
                   * (((unsigned __int8)v274 ^ (unsigned __int8)(*(_QWORD *)(v321 + 0x10) * (v270 >> 0xC))) & 0x7F);
              LODWORD(v306) = 0xD4E382E6;
              v276 = v275 >> 7;
              v277 = v270;
              v339 = ((8 * (_DWORD)v270) & 0x2000000) + 2LL * ((unsigned int)&unk_200000 & (unsigned int)v270);
              v313 = (v270 << 0xA) & 0x200000000000LL | (v270 << 0xB) & 0x800000000000LL;
              v326 = (v277 << 0xF) & 0x800000000000000LL | (v277 << 0xD) & 0x100000000000000LL;
              v322 = (v270 << 8) & 0x10000000000LL | (v270 << 6) & 0x2000000000LL;
              v333 = (v270 << 0xF) & 0x3000000000000000LL;
              v319 = (v270 << 0xD) & 0xC0000000000000LL;
              v329.m128i_i64[0] = (v270 << 6) & 0x1800000000LL;
              v334 = (8 * (_DWORD)v270) & 0x4000000;
              v302 = v270;
              v278 = (unsigned int)qword_18000 & ((unsigned int)v270 >> 2) | _mm_or_si128(
                                                                               _mm_cvtsi32_si128(((unsigned int)v270 >> 9) & 0x10),
                                                                               _mm_cvtsi32_si128(((unsigned int)v270 >> 7) & 0x80)).m128i_u64[0] | (8 * (unsigned __int8)(v270 >> 0xC)) & 8 | (unsigned __int64)(((unsigned int)v270 >> 6) & 0x600);
              v324 = v278 | (unsigned int)&loc_100000 & (unsigned int)v270 | (unsigned __int64)((unsigned int)qword_40000 & (unsigned int)(v270 >> (__ROL4__(0x30B1F72A, 0x1A) == 0xA8C2C7DCLL)));
              v339 |= v324;
              v279 = v339 | (v334 + ((0x10 * (_DWORD)v270) & 0x10000000));
              v280 = v279 | (0x10 * (_DWORD)v270) & 0x60000000;
              v334 = v280 | (v270 << 6) & 0x600000000LL;
              v329.m128i_i64[0] |= v334;
              v322 |= v329.m128i_i64[0];
              v328 = v322 | (v270 << 0xA) & 0x180000000000LL;
              v313 |= v328;
              v281 = v313 | (v277 << 0xB) & 0x1000000000000LL | (v277 << 0xC) & 0x4000000000000LL;
              v282 = v281 | (v270 << 0xC) & 0x18000000000000LL;
              v319 |= v282;
              v283 = v319 | v326;
              v284 = v319 | v326 | v333;
              v285 = (unsigned __int64 **)v318;
              v286 = *(unsigned __int64 **)v318;
              v136 = *(_QWORD *)v318 == 0LL;
              v333 = v284;
              if ( v136 )
              {
                v296 = v276;
LABEL_224:
                v297 = ((__int64 (__fastcall *)(__int64))((char *)&loc_8254E7 - 63979))(0x18LL);
                *(_OWORD *)v297 = 0LL;
                *(_QWORD *)(v297 + 0x10) = 0LL;
                *v285 = (unsigned __int64 *)v297;
                v272 = v285;
                LODWORD(v306) = 0xEE9EC558;
                **v285 = (_mm_or_si128(_mm_cvtsi32_si128(v296 & 3), (__m128i)(v333 & 0x3DDFBB7E765FC79CLL)).m128i_u64[0]
                        + 8LL * (v296 & 0xC)) | ((unsigned __int64)(v296 & 0xC0000) << 0x2C) | ((unsigned __int64)(v296 & 0x20000) << 0x28) | ((unsigned __int64)((unsigned int)&word_10000 & v296) << 0x25) | ((unsigned __int64)((unsigned __int16)v296 & 0x8000) << 0x1F) | ((unsigned __int64)(v296 & 0x4000) << 0x1C) | ((unsigned __int64)(v296 & 0x2000) << 0x1A) | (v296 << 0x11) & 0x8000000 | (v296 << 0xF) & 0x1800000 | ((unsigned __int8)(v296 & 0x70) << 7) | (unsigned __int64)((unsigned int)&unk_200000 & (v296 << 0xE)) | ((unsigned __int64)(v296 & 0x1800) << 0x14);
              }
              else
              {
                v326 = __ROL4__(0x8000000, 4) & (unsigned int)(v283 >> 0x19);
                v326 |= _mm_or_si128(
                          (__m128i)(_mm_or_si128(
                                      (__m128i)((unsigned int)qword_18000 & (unsigned int)(v334 >> 0x12) | WORD1(v280) & 0x6000 | ((unsigned int)v324 >> 0xC) & 0x100 | _mm_or_si128(_mm_cvtsi32_si128(v343 & 0x1F), _mm_cvtsi32_si128(((unsigned int)v278 >> 0xA) & 0x60)).m128i_u64[0] | ((unsigned int)v324 >> 0xB) & 0x80 | ((unsigned int)v339 >> 0xD) & 0x200 | (unsigned __int64)(((unsigned int)v339 >> 0xF) & 0x400) | WORD1(v279) & 0x1000 | (unsigned __int64)(((unsigned int)v279 >> 0xF) & 0x800)),
                                      _mm_and_si128(_mm_srli_epi64(_mm_loadl_epi64(&v329), 0x12u), v271)).m128i_u64[0] | (v281 >> 0x18) & 0x4000000 | (v281 >> 0x17) & 0x2000000 | (v313 >> 0x17) & 0x1000000 | (v313 >> 0x16) & 0x800000 | (v328 >> 0x16) & 0x600000 | (unsigned int)&loc_100000 & (unsigned int)(v322 >> 0x14) | (v322 >> 0x12) & 0x80000),
                          _mm_cvtsi32_si128((v282 >> 0x18) & 0x18000000)).m128i_u64[0] | (v284 >> 0x1B) & 0x600000000LL | (v319 >> 0x19) & 0x60000000 | (v283 >> 0x1B) & 0x100000000LL;
                while ( 1 )
                {
                  v318 = (__int64)v285;
                  LOWORD(v247) = (v247 + 8) & 0xFFF;
                  v287 = *v286;
                  v288 = (v287 >> 0x17) & 0x3000000 | (unsigned int)&unk_E00000 & (unsigned int)(v287 >> 0x16) | (v287 >> 0x1B) & 0x700000000LL | (v287 >> 0x18) & 0x1C000000 | (v287 >> 0x19) & 0xE0000000;
                  v289 = ((unsigned int)v287 >> 0xA) & 0x60 | ((unsigned int)v287 >> 6) & 0x18 | ((unsigned int)v287 >> 5) & 4 | ((unsigned int)v287 >> 0xD) & 0x200 | ((unsigned int)v287 >> 0xC) & 0x100 | (unsigned __int64)((unsigned int)qword_F8000 & (unsigned int)(v287 >> 0x12)) | WORD1(v287) & 0x7000 | ((unsigned int)v287 >> 0xF) & 0xC00 | ((unsigned int)v287 >> 0xB) & 0x80 | (unsigned __int64)(((unsigned int)v287 >> 3) & 3);
                  v290 = *v286 >> 0x14;
                  v291 = __ROL4__(0x55A22CA4, 6) + 0x7DC3DFF9;
                  v292 = (unsigned int)&loc_100000 & (unsigned int)v290;
                  v293 = v290 - 0x100000;
                  if ( __ROL4__(0xFF089DCE, 0x16) + 0x294D8AC9 >= (__int64)(int)__ROR4__(0x1663FA49, 7) )
                    v293 = v292;
                  v294 = v293 * v289;
                  v295 = v289 | v293;
                  if ( v291 < (__int64)0xFFFFFFFFBAC2282BuLL )
                    v295 = v294;
                  if ( _mm_or_si128((__m128i)v295, (__m128i)(unsigned __int64)v288).m128i_u64[0] == v326 )
                    break;
                  v296 = v276 >> 1;
                  v285 = (unsigned __int64 **)&v286[(v276 & 1) + 1];
                  LODWORD(v306) = 0xD36382E6;
                  v286 = *v285;
                  v276 >>= 1;
                  if ( !*v285 )
                    goto LABEL_224;
                }
                LODWORD(v306) = 0x2A9C7D19;
                v272 = (unsigned __int64 **)v318;
              }
              v273 = *v272;
              LODWORD(v306) = 0xA9223B28;
              *v273 = *v273 & 0xFFFFFFFFFFF7BFFFuLL | 0x80000;
              LODWORD(v306) = 0xFCEFC7FE;
              v270 = v302 + 0x1000;
            }
            LODWORD(v306) = 0xDAE382E6;
          }
          v298 = __readeflags();
          __writeeflags(v298 & 0xFFFFFFFFFFFFFEFFuLL);
          LODWORD(v306) = 0xDEE382E6;
          ((void (*)(void))((char *)&loc_513D40 + 0xFFFF48C0))();
          return;
        }
        v208 -= 0x18LL;
        v141 += 0x18LL;
        v205 += 0x18LL;
      }
      v330 = 0x211C7D19;
LABEL_192:
      v253 = ((__int64 (__fastcall *)(unsigned __int64, unsigned __int64))((char *)&loc_11AAA71 + 0xFFFF4ABF))(
               0xFFFFFFFFD4C63720uLL,
               v141);
      if ( !v255 )
      {
        LOWORD(v253) = 0x4F7C;
        v319 = (unsigned int)(0x341B * v253);
        v333 = ((_WORD)v14 + 8) & 0xFFF;
        v256 = ~v254 & 0x8000020ELL;
        v257 = _mm_xor_si128((__m128i)(__int64)0xFFFFFFFFFFFFFFFFuLL, (__m128i)0xC00002EEuLL);
        v258 = v254 & 0xFFFFFFFF7DF729F1uLL;
        v259 = v254 & 0xFFFFFFFF7DF729F1uLL ^ 0xC00002EE;
        v260 = 0x54F0DC8E * v256
             - 0x94C63A0E * v259
             - 0x7F97068D * _mm_or_si128((__m128i)(v254 & 0xFFFFFFFF7DF729F1uLL), v257).m128i_u64[0];
        v261 = 0xFFFFFFFFC03E56F3uLL * v256;
        v262 = ~v254 & 0xC | 0xFFFFFFFFC03E56F3uLL;
        v263 = (__m128i)(0xFFFFFFFF3FFFFD12uLL
                       * _mm_andnot_si128((__m128i)0xC00002EEuLL, (__m128i)(~v254 | 0x8208D60EuLL)).m128i_u64[0]);
        LOWORD(v14) = (v14 + 8) & 0xFFF;
